                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.5651,                 2.7167,                 1.1471,                 1.2889,                0.55336,                0.53259,                0.50484,                0.28578,                0.52052,                0.48554,                0.45039,                0.21355,                 1.6612,                 2.9157,                 1.1689,                  1.394,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.5581,                  2.707,                 1.1407,                 1.2905,                0.55372,                 0.5322,                0.50496,                0.28597,                0.52028,                0.48511,                0.45082,                0.21397,                 1.6612,                 2.9159,                 1.1688,                 1.3939,               0.005644,               0.005644,               0.005644
                     90,                 1.5619,                 2.7043,                 1.1447,                 1.2903,                0.55481,                0.53213,                0.50477,                0.28557,                0.51851,                0.48629,                0.45057,                0.21396,                 1.6613,                 2.9162,                 1.1687,                 1.3939,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.5591,                  2.709,                 1.1401,                 1.2869,                0.55409,                0.53293,                0.50526,                0.28597,                0.51986,                0.48504,                0.45021,                0.21402,                 1.6615,                 2.9163,                 1.1686,                 1.3939,               0.005545,               0.005545,               0.005545
                     92,                 1.5568,                 2.7028,                 1.1398,                 1.2862,                0.55373,                0.53287,                0.50537,                0.28571,                0.51785,                 0.4867,                0.45022,                0.21399,                 1.6617,                 2.9163,                 1.1687,                 1.3939,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.5587,                 2.7035,                 1.1408,                 1.2884,                0.55257,                0.53218,                0.50495,                0.28532,                0.51871,                0.48539,                0.44941,                0.21361,                 1.6619,                 2.9164,                 1.1685,                 1.3939,               0.005446,               0.005446,               0.005446
                     94,                 1.5533,                  2.694,                 1.1333,                 1.2848,                0.55086,                0.53452,                0.50597,                 0.2859,                0.51975,                0.48419,                0.45022,                0.21411,                  1.662,                 2.9166,                 1.1687,                  1.394,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.5548,                 2.6952,                 1.1383,                  1.285,                0.55085,                0.53426,                0.50573,                0.28589,                 0.5218,                0.48281,                0.45046,                0.21414,                  1.662,                 2.9169,                 1.1684,                 1.3939,               0.005347,               0.005347,               0.005347
                     96,                 1.5526,                 2.6957,                 1.1354,                  1.281,                0.55389,                0.53256,                0.50564,                0.28574,                0.52019,                0.48141,                0.44975,                0.21395,                  1.662,                  2.917,                 1.1683,                 1.3938,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.5532,                 2.6917,                  1.135,                 1.2855,                0.55535,                0.53192,                0.50575,                0.28636,                0.52103,                0.48146,                0.45083,                0.21449,                  1.662,                 2.9175,                 1.1683,                 1.3939,               0.005248,               0.005248,               0.005248
                     98,                 1.5464,                 2.6863,                 1.1273,                 1.2828,                0.55466,                0.53149,                0.50506,                0.28583,                0.52338,                0.48141,                0.45072,                0.21424,                 1.6621,                 2.9175,                 1.1682,                  1.394,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.5476,                 2.6892,                 1.1308,                 1.2825,                0.55455,                0.53192,                0.50592,                0.28629,                 0.5219,                0.48095,                0.45048,                0.21431,                 1.6621,                  2.918,                 1.1681,                 1.3941,               0.005149,               0.005149,               0.005149
                    100,                 1.5454,                 2.6856,                 1.1268,                 1.2806,                0.55709,                0.53115,                0.50607,                0.28655,                0.52599,                0.47901,                 0.4505,                0.21456,                 1.6625,                 2.9184,                 1.1679,                 1.3942,              0.0050995,              0.0050995,              0.0050995
